strICD9,strICD10
E83.09,V90.19XD
E92.91,V90.19XS
E83.09,V90.20XA
E83.09,V90.20XD
E92.91,V90.20XS
E83.09,V90.21XA
E83.09,V90.21XD
E92.91,V90.21XS
E83.09,V90.22XA
E83.09,V90.22XD
E92.91,V90.22XS
E83.09,V90.23XA
E83.09,V90.23XD
E92.91,V90.23XS
E83.09,V90.24XA
E83.09,V90.24XD
E92.91,V90.24XS
E83.09,V90.25XA
E83.09,V90.25XD
E92.91,V90.25XS
E83.09,V90.26XA
E83.09,V90.26XD
E92.91,V90.26XS
E83.09,V90.27XA
E83.09,V90.27XD
E92.91,V90.27XS
E83.09,V90.28XA
E83.09,V90.28XD
E92.91,V90.28XS
E83.09,V90.29XA
E83.09,V90.29XD
E92.91,V90.29XS
E83.09,V90.30XA
E83.09,V90.30XD
E92.91,V90.30XS
E83.09,V90.31XA
E83.09,V90.31XD
E92.91,V90.31XS
E83.09,V90.32XA
E83.09,V90.32XD
E92.91,V90.32XS
E83.09,V90.33XA
E83.09,V90.33XD
E92.91,V90.33XS
E83.09,V90.34XA
E83.09,V90.34XD
E92.91,V90.34XS
E83.09,V90.35XA
E83.09,V90.35XD
E92.91,V90.35XS
E83.09,V90.36XA
E83.09,V90.36XD
E92.91,V90.36XS
E83.09,V90.37XA
E83.09,V90.37XD
E92.91,V90.37XS
E83.09,V90.38XA
E83.09,V90.38XD
E92.91,V90.38XS
E83.09,V90.39XA
E83.09,V90.39XD
E92.91,V90.39XS
E83.09,V90.80XA
E83.09,V90.80XD
E92.91,V90.80XS
E83.09,V90.81XA
E83.09,V90.81XD
E92.91,V90.81XS
E83.09,V90.82XA
E83.09,V90.82XD
E92.91,V90.82XS
E83.09,V90.83XA
E83.09,V90.83XD
E92.91,V90.83XS
E83.09,V90.84XA
E83.09,V90.84XD
E92.91,V90.84XS
E83.09,V90.85XA
E83.09,V90.85XD
E92.91,V90.85XS
E83.09,V90.86XA
E83.29,V92.15XD
E92.91,V92.15XS
E83.29,V92.16XA
E83.29,V92.16XD
E92.91,V92.16XS
E83.29,V92.19XA
E83.29,V92.19XD
E92.91,V92.19XS
E83.29,V92.20XA
E83.29,V92.20XD
E92.91,V92.20XS
E83.29,V92.21XA
E83.29,V92.21XD
E92.91,V92.21XS
E83.29,V92.22XA
E83.29,V92.22XD
E92.91,V92.22XS
E83.29,V92.23XA
E83.29,V92.23XD
E83.09,V90.86XD
E92.91,V90.86XS
E83.09,V90.87XA
E83.09,V90.87XD
E92.91,V90.87XS
E83.09,V90.88XA
E83.09,V90.88XD
E92.91,V90.88XS
E83.09,V90.89XA
E83.09,V90.89XD
E92.91,V90.89XS
E83.19,V91.00XA
E83.19,V91.00XD
E92.91,V91.00XS
E83.19,V91.01XA
E83.19,V91.01XD
E92.91,V91.01XS
E83.19,V91.02XA
E83.19,V91.02XD
E92.91,V91.02XS
E83.19,V91.03XA
E83.19,V91.03XD
E92.91,V91.03XS
E83.19,V91.04XA
E83.19,V91.04XD
E92.91,V91.04XS
E83.19,V91.05XA
E83.19,V91.05XD
E92.91,V91.05XS
E83.19,V91.06XA
E83.19,V91.06XD
E92.91,V91.06XS
E83.19,V91.07XA
E83.19,V91.07XD
E92.91,V91.07XS
E83.19,V91.08XA
E83.19,V91.08XD
E92.91,V91.08XS
E83.19,V91.09XA
E83.19,V91.09XD
E92.91,V91.09XS
E83.19,V91.10XA
E83.19,V91.10XD
E92.91,V91.10XS
E83.19,V91.11XA
E83.19,V91.11XD
E92.91,V91.11XS
E83.19,V91.12XA
E83.19,V91.12XD
E92.91,V91.12XS
E83.19,V91.13XA
E83.19,V91.13XD
E92.91,V91.13XS
E83.19,V91.14XA
E83.19,V91.14XD
E92.91,V91.14XS
E83.19,V91.15XA
E83.19,V91.15XD
E92.91,V91.15XS
E83.19,V91.16XA
E83.19,V91.16XD
E92.91,V91.16XS
E83.19,V91.18XA
E83.19,V91.18XD
E92.91,V91.18XS
E83.19,V91.19XA
E83.19,V91.19XD
E92.91,V91.19XS
E83.19,V91.20XA
E83.19,V91.20XD
E92.91,V91.20XS
E83.19,V91.21XA
E83.19,V91.21XD
E92.91,V91.21XS
E83.19,V91.22XA
E83.19,V91.22XD
E92.91,V91.22XS
E83.19,V91.23XA
E83.19,V91.23XD
E92.91,V91.23XS
E83.19,V91.24XA
E83.19,V91.24XD
E92.91,V91.24XS
E83.19,V91.25XA
E83.19,V91.25XD
E92.91,V91.25XS
E83.19,V91.26XA
E83.19,V91.26XD
E92.91,V91.26XS
E83.19,V91.29XA
E83.19,V91.29XD
E92.91,V91.29XS
E83.19,V91.30XA
E83.19,V91.30XD
E92.91,V91.30XS
E83.19,V91.31XA
E83.19,V91.31XD
E92.91,V91.31XS
E83.19,V91.32XA
E83.19,V91.32XD
E81.29,V85.3XXD
E92.90,V85.3XXS
E92.91,V92.07XS
E83.29,V92.08XA
E83.29,V92.08XD
E92.91,V92.08XS
E83.29,V92.09XA
E83.29,V92.09XD
E92.91,V92.09XS
E83.29,V92.10XA
E83.29,V92.10XD
E92.91,V92.10XS
E83.29,V92.11XA
E83.29,V92.11XD
E92.91,V92.11XS
E83.29,V92.12XA
E83.29,V92.12XD
E92.91,V92.12XS
E83.29,V92.13XA
E83.29,V92.13XD
E92.91,V92.13XS
E83.29,V92.14XA
E83.29,V92.14XD
E92.91,V92.14XS
E83.29,V92.15XA
E92.91,V91.32XS
E83.19,V91.33XA
E83.19,V91.33XD
E92.91,V91.33XS
E83.19,V91.34XA
E83.19,V91.34XD
E92.91,V91.34XS
E83.19,V91.35XA
E83.19,V91.35XD
E92.91,V91.35XS
E83.19,V91.36XA
E83.19,V91.36XD
E92.91,V91.36XS
E83.19,V91.37XA
E83.19,V91.37XD
E92.91,V91.37XS
E83.19,V91.38XA
E83.19,V91.38XD
E92.91,V91.38XS
E83.19,V91.39XA
E83.19,V91.39XD
E92.91,V91.39XS
E83.19,V91.80XA
E83.19,V91.80XD
E92.91,V91.80XS
E83.19,V91.81XA
E83.19,V91.81XD
E92.91,V91.81XS
E83.19,V91.82XA
E83.19,V91.82XD
E92.91,V91.82XS
E83.19,V91.83XA
E83.19,V91.83XD
E92.91,V91.83XS
E83.19,V91.84XA
E83.19,V91.84XD
E92.91,V91.84XS
E83.19,V91.85XA
E83.19,V91.85XD
E92.91,V91.85XS
E83.19,V91.86XA
E83.19,V91.86XD
E92.91,V91.86XS
E83.19,V91.87XA
E83.19,V91.87XD
E92.91,V91.87XS
E83.19,V91.88XA
E83.19,V91.88XD
E92.91,V91.88XS
E83.19,V91.89XA
E83.19,V91.89XD
E92.91,V91.89XS
E83.29,V92.00XA
E83.29,V92.00XD
E92.91,V92.00XS
E83.29,V92.01XA
E83.29,V92.01XD
E92.91,V92.01XS
E83.29,V92.02XA
E83.29,V92.02XD
E92.91,V92.02XS
E83.29,V92.03XA
E83.29,V92.03XD
E92.91,V92.03XS
E83.29,V92.04XA
E83.29,V92.04XD
E92.91,V92.04XS
E83.29,V92.05XA
E83.29,V92.05XD
E92.91,V92.05XS
E83.29,V92.06XA
E83.29,V92.06XD
E92.91,V92.06XS
E83.29,V92.07XA
E83.29,V92.07XD
E82.48,V85.4XXA
E82.48,V85.4XXD
E92.90,V85.4XXS
E82.20,V85.5XXA
E82.20,V85.5XXD
E92.90,V85.5XXS
E82.21,V85.6XXA
E82.21,V85.6XXD
E92.90,V85.6XXS
E82.28,V85.7XXA
E82.28,V85.7XXD
E92.90,V85.7XXS
E82.29,V85.9XXA
E82.29,V85.9XXD
E92.90,V85.9XXS
E81.50,V86.01XA
E81.50,V86.01XD
E92.90,V86.01XS
E81.50,V86.02XA
E81.50,V86.02XD
E92.90,V86.02XS
E81.50,V86.03XA
E81.50,V86.03XD
E92.90,V86.03XS
E81.50,V86.04XA
E81.50,V86.04XD
E92.90,V86.04XS
E81.50,V86.09XA
E81.50,V86.09XD
E92.90,V86.09XS
E81.51,V86.11XA
E81.51,V86.11XD
E92.90,V86.11XS
E81.51,V86.12XA
E81.51,V86.12XD
E92.90,V86.12XS
E81.51,V86.13XA
E81.51,V86.13XD
E92.90,V86.13XS
E81.51,V86.14XA
E81.51,V86.14XD
E92.90,V86.14XS
E81.51,V86.19XA
E81.51,V86.19XD
E92.90,V86.19XS
E81.58,V86.21XA
E81.58,V86.21XD
E92.90,V86.21XS
E81.58,V86.22XA
E81.58,V86.22XD
E92.90,V86.22XS
E81.58,V86.23XA
E81.58,V86.23XD
E92.90,V86.23XS
E81.58,V86.24XA
E81.58,V86.24XD
E92.90,V86.24XS
E81.58,V86.29XA
E81.58,V86.29XD
E92.90,V86.29XS
E81.59,V86.31XA
E81.59,V86.31XD
E92.90,V86.31XS
E81.59,V86.32XA
E81.59,V86.32XD
E92.90,V86.32XS
E81.59,V86.33XA
E81.59,V86.33XD
E92.90,V86.33XS
E81.59,V86.34XA
E81.59,V86.34XD
E92.90,V86.34XS
E81.59,V86.39XA
E81.59,V86.39XD
E92.90,V86.39XS
E82.48,V86.41XA
E82.48,V86.41XD
E92.90,V86.41XS
E82.08,V86.42XA
E82.08,V86.42XD
E92.90,V86.42XS
E82.18,V86.43XA
E82.18,V86.43XD
E92.90,V86.43XS
E82.48,V86.44XA
E82.48,V86.44XD
E92.90,V86.44XS
E82.18,V86.49XA
E82.18,V86.49XD
E92.90,V86.49XS
E82.20,V86.51XA
E82.20,V86.51XD
E92.90,V86.51XS
E82.00,V86.52XA
E82.00,V86.52XD
E92.90,V86.52XS
E82.10,V86.53XA
E82.10,V86.53XD
E92.90,V86.53XS
E82.20,V86.54XA
E82.20,V86.54XD
E92.90,V86.54XS
E82.10,V86.59XA
E82.10,V86.59XD
E92.90,V86.59XS
E82.21,V86.61XA
E82.21,V86.61XD
E92.90,V86.61XS
E82.01,V86.62XA
E82.01,V86.62XD
E92.90,V86.62XS
E82.11,V86.63XA
E82.11,V86.63XD
E92.90,V86.63XS
E82.21,V86.64XA
E82.21,V86.64XD
E92.90,V86.64XS
E82.11,V86.69XA
E82.11,V86.69XD
E92.90,V86.69XS
E82.28,V86.71XA
E82.28,V86.71XD
E92.90,V86.71XS
E82.08,V86.72XA
E82.08,V86.72XD
E92.90,V86.72XS
E82.18,V86.73XA
E82.18,V86.73XD
E92.90,V86.73XS
E82.58,V86.74XA
E82.58,V86.74XD
E92.90,V86.74XS
E82.18,V86.79XA
E82.18,V86.79XD
E92.90,V86.79XS
E82.59,V86.91XA
E82.59,V86.91XD
E92.90,V86.91XS
E82.09,V86.92XA
E82.09,V86.92XD
E92.90,V86.92XS
E82.19,V86.93XA
E82.19,V86.93XD
E92.90,V86.93XS
E82.59,V86.94XA
E82.59,V86.94XD
E92.90,V86.94XS
E82.19,V86.99XA
E82.19,V86.99XD
E92.90,V86.99XS
E81.29,V87.0XXA
E81.29,V87.0XXD
E92.90,V87.0XXS
E81.29,V87.1XXA
E81.29,V87.1XXD
E92.90,V87.1XXS
E81.29,V87.2XXA
E81.29,V87.2XXD
E92.90,V87.2XXS
E81.29,V87.3XXA
E81.29,V87.3XXD
E92.90,V87.3XXS
E81.29,V87.4XXA
E81.29,V87.4XXD
E92.90,V87.4XXS
E81.29,V87.5XXA
E81.29,V87.5XXD
E92.90,V87.5XXS
E81.09,V87.6XXA
